"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61"
"Maschio",19,6,5,6,6,6,4,4,4,4,3,3,3,3,4,4,3,3,4,4,4,4,4,4,3,4,4,3,4,3,4,3,4,4,3,4,4,4,6,5,5,5,5,5,4,4,5,4,5,4,3,6,6,8,7,7,6,6,5,7
"Femmina",25,7,4,5,5,2,3,3,2,4,4,3,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,2,3,3,2,4,4,2,4,2,3,4,4,4,4,6,5,3,3,3,3,3,2,2,8,6,6,6,2,2,10,6
"Femmina",25,6,5,3,4,3,5,1,2,4,2,4,4,1,4,3,2,4,4,3,5,4,5,3,4,3,4,2,4,1,4,1,3,2,4,3,1,2,6,5,5,6,7,5,2,6,4,2,6,4,5,8,9,10,10,8,5,3,9,7
"Maschio",43,8,6,4,5,1,4,1,3,1,4,2,1,2,4,4,3,3,2,4,2,4,4,1,4,1,4,2,4,1,4,1,4,2,1,3,2,4,4,7,6,5,6,5,5,6,3,5,5,4,5,8,9,7,9,9,9,8,6,9
"Maschio",33,4,4,4,4,3,3,2,2,2,3,1,2,2,3,3,4,4,4,4,5,5,5,4,4,3,3,2,3,2,3,2,3,2,3,4,3,4,4,3,4,3,5,4,2,4,4,3,3,2,1,5,5,4,6,5,3,6,10,5
"Femmina",28,7,6,6,6,2,3,3,3,3,4,2,2,2,4,4,2,3,1,3,2,4,4,3,4,2,3,3,4,3,4,3,4,3,3,4,2,4,5,5,7,5,4,5,5,7,5,5,6,5,7,7,9,7,8,9,6,2,9,7
"Maschio",26,6,5,5,5,4,4,2,3,3,3,2,1,4,2,2,3,3,2,3,3,3,2,2,3,1,3,4,3,3,4,3,3,2,1,2,3,3,5,5,6,5,5,5,2,5,3,2,3,2,2,6,7,4,6,7,6,4,5,5
"Femmina",44,6,4,4,6,5,3,3,3,3,3,4,2,2,3,2,4,3,1,3,3,4,3,3,3,2,2,4,2,4,2,3,2,1,1,2,3,2,2,3,6,5,5,5,3,4,3,3,4,4,3,6,6,6,9,7,5,2,5,5
"Femmina",21,6,5,4,4,5,4,3,3,3,4,2,3,3,3,2,2,5,4,3,2,3,5,3,3,3,3,3,4,2,3,2,3,3,3,3,2,2,4,5,4,4,6,6,4,6,4,5,5,5,3,7,7,7,6,5,5,2,6,8
"Femmina",21,3,4,4,4,5,3,1,1,2,5,1,1,1,3,4,5,3,5,3,5,3,4,4,4,1,5,1,5,1,5,1,5,1,1,5,1,5,1,7,7,7,6,5,5,4,1,1,2,4,1,4,8,8,10,7,9,4,0,2
"Femmina",24,7,5,3,3,5,3,2,3,4,5,2,2,2,2,3,4,3,1,3,3,4,3,4,3,2,3,3,3,2,3,3,4,4,1,2,3,2,5,2,6,4,6,6,4,1,4,2,3,4,2,5,2,9,4,3,3,4,1,7
"Femmina",20,7,6,5,4,1,5,4,3,2,5,1,1,1,5,3,5,5,3,5,3,5,5,4,5,1,4,3,4,2,4,2,4,2,3,4,3,3,6,5,6,4,7,7,7,7,6,5,6,4,6,7,10,9,7,5,10,1,1,7
"Maschio",58,7,5,5,5,3,4,2,3,2,3,2,3,2,3,4,2,4,1,3,2,3,3,2,3,2,4,2,4,2,3,2,3,2,2,3,3,3,5,3,5,6,6,6,5,5,3,3,5,6,3,7,7,7,4,4,6,6,6,7
"Femmina",32,8,6,6,6,3,5,2,3,2,3,1,1,3,4,2,3,3,1,3,2,3,3,2,3,2,3,2,4,2,4,1,3,3,2,3,1,3,6,5,6,4,4,6,6,5,5,5,6,5,5,7,9,8,7,8,7,7,7,8
"Maschio",40,5,4,4,3,5,5,3,3,3,4,2,3,3,4,5,4,4,3,3,5,4,4,4,3,3,4,2,4,2,4,2,4,2,3,3,3,3,5,4,6,4,5,5,5,6,4,4,4,4,3,5,5,5,5,5,5,5,5,5
"Maschio",15,2,3,2,3,6,4,4,1,1,1,4,3,1,1,3,3,1,1,4,5,2,1,4,1,3,2,4,2,3,2,4,2,4,3,3,5,1,1,5,1,5,1,1,1,2,1,1,2,1,1,2,0,0,6,1,0,0,0,1
"Maschio",21,8,6,5,4,5,4,2,3,4,2,1,3,3,3,4,3,4,3,3,3,4,4,3,4,3,3,3,4,2,3,3,3,3,3,3,2,3,6,5,5,5,6,6,3,6,4,4,5,4,6,8,9,9,7,7,7,5,6,6
"Femmina",21,8,6,7,6,1,4,1,4,1,4,1,1,1,4,4,3,2,1,3,2,3,3,1,4,1,5,2,5,2,5,2,5,2,1,4,2,4,6,7,6,7,7,7,7,6,6,6,6,5,7,9,10,8,9,10,10,9,3,9
"Maschio",36,10,7,7,7,1,5,1,3,1,5,1,1,1,5,4,1,5,2,5,1,5,5,1,5,1,5,1,5,1,5,1,5,2,1,5,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10
"Maschio",22,8,6,7,7,3,3,1,2,1,5,3,1,3,3,5,4,4,2,2,3,5,5,2,4,1,3,3,4,4,4,4,4,4,2,3,5,5,7,6,7,7,7,7,7,6,5,6,6,5,7,8,7,8,8,10,5,6,0,9
"Femmina",27,1,5,4,4,7,5,5,3,5,3,3,5,1,5,4,1,3,3,3,3,4,4,2,4,3,4,3,4,3,3,3,4,4,2,3,3,2,7,7,6,4,7,7,3,6,3,2,3,3,1,2,2,3,7,5,5,0,7,5
"Femmina",21,6,5,4,5,6,5,3,3,4,3,2,3,3,4,4,2,4,3,5,2,4,4,3,4,2,3,3,3,3,3,4,3,2,2,2,3,3,7,5,6,6,7,4,6,6,4,5,5,5,5,9,9,9,9,8,9,7,8,7
"Femmina",22,2,3,3,1,5,1,4,1,2,2,1,2,3,1,1,5,1,2,1,5,1,3,4,1,5,3,4,2,1,2,2,3,5,4,4,3,2,4,3,5,4,4,4,3,4,2,1,1,1,1,3,3,3,3,2,2,2,2,1
"Femmina",22,7,4,4,4,3,3,1,2,2,2,1,1,1,3,1,2,4,1,4,1,4,4,1,3,1,3,4,1,1,4,4,4,3,1,4,3,3,5,4,6,6,4,7,7,7,6,4,6,4,6,6,7,7,8,8,8,7,6,6
"Femmina",20,7,4,4,4,4,4,5,3,2,3,1,2,1,2,1,2,3,1,3,2,4,4,2,4,3,4,3,4,2,4,2,1,4,4,4,3,2,6,4,6,4,5,7,6,4,4,4,4,4,4,7,10,7,2,2,3,0,6,6
"Femmina",21,7,6,7,4,6,5,2,3,1,4,1,1,1,4,4,3,2,1,4,2,5,3,1,4,1,4,2,5,1,4,2,4,2,2,4,2,4,7,7,6,7,6,7,7,7,6,5,6,5,1,6,9,8,9,8,0,6,0,7
"Femmina",20,7,6,5,6,2,3,2,4,2,3,1,2,1,4,3,2,3,3,2,2,3,3,1,3,2,4,1,4,1,4,1,4,2,1,4,2,3,4,5,6,4,3,5,5,5,5,4,5,2,2,6,8,6,7,7,4,2,5,7
"Femmina",20,7,5,5,4,2,3,2,3,2,3,1,2,1,4,3,2,3,1,3,2,4,3,2,4,1,4,2,4,3,4,1,4,3,1,4,3,4,5,6,6,6,6,6,5,6,5,4,5,5,4,7,8,7,7,7,7,5,5,8
"Femmina",23,4,5,3,3,4,2,3,3,3,2,5,3,2,2,1,4,1,1,1,5,3,3,4,2,4,1,4,4,2,3,2,2,4,2,3,2,1,2,4,3,5,4,3,1,4,3,2,2,2,5,3,6,5,6,3,5,1,5,5
"Maschio",21,5,4,3,2,5,2,4,3,3,2,3,4,4,3,4,4,3,5,2,4,3,3,4,2,5,2,4,3,4,4,3,2,3,4,3,4,3,2,3,3,4,4,5,2,2,1,2,2,1,1,8,2,3,1,2,0,0,0,3
"Maschio",23,4,1,1,1,7,3,5,3,5,1,3,3,1,1,1,5,3,5,1,5,1,3,5,3,5,1,5,5,1,1,5,1,5,5,1,5,1,3,1,4,7,1,3,1,1,3,1,1,1,1,4,10,6,4,0,0,0,6,0
"Femmina",20,7,5,4,4,5,5,2,3,3,4,1,2,1,3,3,4,5,1,4,4,5,5,2,4,2,1,4,3,2,3,2,2,4,2,3,3,2,5,5,6,5,7,5,5,5,4,3,4,3,3,6,6,9,8,3,8,7,2,7
"Femmina",23,3,3,3,1,6,2,5,2,3,2,4,4,3,2,2,5,1,4,2,5,3,2,5,2,4,1,5,2,4,3,3,3,4,3,2,5,2,2,2,2,2,2,2,2,2,2,2,3,2,1,10,6,1,1,2,1,1,1,1
"Femmina",25,8,5,7,6,1,4,1,3,2,3,1,1,1,4,5,4,3,1,2,2,4,4,3,5,1,5,2,4,2,4,2,4,1,1,4,3,3,3,6,5,4,7,7,7,7,7,5,5,5,4,8,6,6,9,9,9,3,1,9
"Maschio",23,6,3,3,2,6,2,4,3,4,3,3,4,3,2,3,3,1,2,2,4,2,2,4,2,4,3,3,4,1,2,3,2,3,2,2,4,2,2,3,3,4,5,4,1,3,3,2,3,4,1,2,3,2,4,2,0,0,0,3
"Femmina",23,8,6,6,4,5,5,2,3,3,2,3,4,2,4,4,5,4,2,3,5,4,5,1,3,2,4,3,4,2,4,1,4,2,4,4,2,3,5,7,6,4,6,7,3,6,4,4,5,6,3,8,10,9,10,9,9,4,8,8
"Femmina",22,7,5,4,5,6,3,5,2,5,4,1,5,1,2,1,4,2,2,2,5,5,5,5,5,5,1,5,5,1,3,5,1,5,5,5,5,3,5,5,5,4,5,7,4,1,1,1,4,1,3,8,6,5,4,8,10,6,7,6
"Femmina",26,7,5,4,3,2,4,1,3,3,4,1,1,2,4,5,2,5,1,3,3,4,5,3,5,2,5,1,4,1,4,1,4,2,1,3,2,3,7,5,6,4,7,6,4,5,4,3,5,6,6,7,6,9,9,7,5,6,4,8
"Femmina",22,5,4,4,6,1,4,2,5,1,3,1,1,1,4,5,3,3,5,5,2,4,4,4,4,1,4,1,3,1,5,1,3,3,1,5,1,4,5,6,6,4,6,7,3,7,5,4,5,7,7,7,10,8,8,5,0,0,10,7
"Femmina",21,8,6,7,6,2,4,2,4,3,4,2,2,3,4,4,5,4,2,3,4,5,4,3,5,2,4,2,4,2,4,2,5,1,2,4,3,4,6,7,7,6,6,7,6,6,6,6,6,6,6,8,8,8,10,10,9,9,8,9
"Femmina",27,3,4,4,3,3,5,3,2,2,3,1,3,1,3,4,2,4,1,3,3,4,4,2,4,2,4,3,4,2,3,1,3,2,2,1,1,3,5,6,6,4,6,6,5,6,5,3,4,5,6,2,4,8,9,7,5,0,0,6
"Femmina",33,0,1,3,4,2,5,5,1,5,5,1,3,1,2,4,1,5,1,3,3,5,5,1,5,3,4,4,4,2,4,1,1,5,3,2,3,2,7,7,7,4,6,4,1,6,1,3,3,3,1,2,8,0,10,4,2,0,2,2
"Maschio",27,6,4,3,3,4,3,3,2,3,2,2,3,1,2,2,4,2,1,2,3,2,3,2,2,2,2,3,3,3,3,3,3,3,2,3,2,2,3,4,3,4,4,4,2,6,3,1,4,3,1,7,7,6,7,6,5,4,5,6
"Femmina",25,8,7,7,5,2,5,1,4,3,5,1,3,2,4,5,3,4,1,1,5,5,5,4,5,3,5,1,4,1,5,1,5,1,1,5,2,5,5,6,7,7,7,7,6,6,7,4,6,7,7,7,7,9,10,7,6,6,7,9
"Femmina",27,2,3,3,1,7,5,5,1,2,2,2,3,1,1,2,4,3,3,3,5,5,5,5,3,3,2,5,3,3,2,4,2,4,4,2,5,2,1,1,2,1,2,4,1,3,1,1,1,3,1,2,8,5,0,6,0,0,9,1
"Femmina",23,8,6,5,3,6,3,3,3,1,2,1,2,1,2,2,4,3,3,3,3,2,3,3,2,3,4,3,4,3,4,1,3,2,2,3,2,3,3,3,5,6,5,7,5,6,6,7,6,6,4,10,10,8,9,10,8,5,0,5
"Femmina",24,5,5,5,5,2,4,5,3,4,4,3,4,1,4,4,4,4,1,3,1,3,3,4,5,3,3,2,3,1,3,3,3,3,4,4,1,2,6,6,6,6,4,6,1,5,1,1,2,2,2,5,9,5,8,7,5,0,2,6
"Femmina",19,7,6,5,4,2,5,2,2,4,1,1,1,1,4,4,4,2,1,1,3,4,4,2,4,1,2,4,4,2,3,3,2,2,4,3,2,2,4,5,5,5,5,5,5,5,4,5,5,5,3,6,8,6,8,8,5,2,0,7
"Femmina",24,7,6,5,5,2,5,2,4,4,4,2,3,1,5,3,2,4,1,4,3,4,4,2,4,2,4,2,4,1,4,1,4,3,3,4,3,4,5,5,6,6,6,6,5,6,5,3,4,3,2,6,8,7,8,6,6,5,5,7
"Maschio",19,4,5,4,2,6,3,2,3,2,3,2,2,2,2,2,1,2,2,2,2,3,2,1,2,1,2,3,4,4,2,3,2,5,3,2,5,1,4,3,2,3,5,4,4,5,2,2,1,1,4,5,6,2,1,4,5,5,8,3
"Femmina",25,6,6,6,5,2,5,1,4,3,4,1,3,2,4,4,2,3,2,3,1,3,4,2,4,2,4,2,5,1,5,1,4,2,1,5,2,4,5,6,7,6,7,7,7,6,6,6,6,6,7,10,10,6,9,9,10,9,5,10
"Maschio",28,1,4,4,4,4,4,5,2,5,4,4,4,2,3,5,3,4,1,4,5,3,3,5,1,5,3,3,2,2,3,4,3,2,1,3,4,3,3,6,4,6,7,7,4,6,3,5,5,2,4,7,7,6,8,8,9,0,2,6
"Maschio",23,5,4,4,3,4,3,2,3,2,3,1,1,2,3,3,3,3,1,2,3,4,5,2,3,2,3,3,5,2,3,2,3,3,1,3,3,3,5,4,5,6,7,6,5,5,4,3,4,4,5,5,6,5,5,6,5,4,4,5
"Femmina",23,8,7,7,7,2,5,2,4,3,1,4,1,1,5,5,4,2,4,5,4,4,2,4,5,2,5,3,5,2,5,2,5,3,1,5,2,4,6,6,6,5,4,7,7,6,5,6,6,7,7,10,10,7,10,3,3,6,10,9
"Maschio",36,7,6,5,5,2,3,2,2,2,4,2,3,1,2,2,4,2,4,2,4,3,2,4,2,4,2,3,3,3,3,3,3,3,3,3,3,3,4,2,4,4,2,4,3,3,4,4,4,3,2,6,6,5,7,6,5,5,9,6
